family_stem,variable_name,label,n_years,years_range,label_drift
a1,a1,a1. Which of the following best describes your school schedule during the past 3,4,2020-2021..2023-2024,False
a10,a10,a10. What is the highest level of education your parents or guardians completed?,9,2015-2016..2023-2024,True
a100,a100,"a100. Past 30 days, used prescription drugs to get 'high' or for reasons other t",2,2019-2020..2020-2021,True
a100_a82,a100_a82,"a100/a82. past 12 months, been pushed, shoved, slapped, hit or kicked by someon",3,2010-2011..2012-2013,False
a100_a89,a100_a89,"a100_a89. Your race, ethnicity, or national origin, past 12 months on school pro",2,2013-2014..2014-2015,True
a100_a90,a100_a90,"a100_a90. Past 12 months at school, been pushed, shoved, slapped, hit, or kicked",2,2017-2018..2018-2019,False
a100_a91,a100_a91,"a100_a91. Past 12 months at school, carried any other weapon?",2,2015-2016..2016-2017,True
a100_a95,a100_a95,a100_a95. Smoke cigarettes occasionally - How much do people risk harming themse,3,2021-2022..2023-2024,True
a101,a101,a101. How many times have you tried to quit or stop using alcohol?,1,2019-2020..2019-2020,False
a101_a83,a101_a83,"a101/a83. past 12 months, been afraid of being beaten up at school?",3,2010-2011..2012-2013,False
a101_a90,a101_a90,"a101_a90. Your religion, past 12 months on school property, were harassed or bul",2,2013-2014..2014-2015,True
a101_a91,a101_a91,"a101_a91. Past 12 months at school, been afraid of being beaten up?",2,2017-2018..2018-2019,False
a101_a92,a101_a92,"a101_a92. Past 12 months at school, been threatened or injured with a weapon?",2,2015-2016..2016-2017,True
a101_a93,a101_a93,"a101_a93. Past 30 days, used any other drug, pill, or medicine to get 'high' or",1,2020-2021..2020-2021,False
a101_a96,a101_a96,a101_a96. Smoke 1 or more packs of cigarettes each day - How much do people risk,3,2021-2022..2023-2024,True
a102,a102,"a102. Past 30 days, used two or more substances at the same time?",2,2019-2020..2020-2021,True
a102_a84,a102_a84,"a102/a84. past 12 months, been in a physical fight at school?",3,2010-2011..2012-2013,False
a102_a91,a102_a91,"a102_a91. Your gender, past 12 months on school property, were harassed or bulli",2,2013-2014..2014-2015,True
a102_a92,a102_a92,"a102_a92. Past 12 months at school, been in a physical fight?",2,2017-2018..2018-2019,False
a102_a93,a102_a93,"a102_a93. Past 12 months at school, seen someone carrying a gun, knife, or other",2,2015-2016..2016-2017,True
a102_a97,a102_a97,a102_a97. Vape tobacco or nicotine occasionally - How much do people risk harmin,3,2021-2022..2023-2024,True
a103_a85,a103_a85,"a103/a85. past 12 months, had mean rumors or lies spread about you at school?",3,2010-2011..2012-2013,False
a103_a90,a103_a90,a103_a90. School has a policy that bans tobacco use and vaping on school propert,1,2019-2020..2019-2020,False
a103_a92,a103_a92,"a103_a92. Because you are gay or lesbian or someone thought you were, past 12 mo",2,2013-2014..2014-2015,True
a103_a93,a103_a93,"a103_a93. Past 12 months at school, had mean rumors or lies spread about you?",2,2017-2018..2018-2019,False
a103_a94,a103_a94,"a103_a94. Past 30 days on school property, did you smoke cigarettes?",3,2015-2016..2020-2021,True
a103_a98,a103_a98,a103_a98. Vape tobacco or nicotine several times a day (100 puffs or more) - How,3,2021-2022..2023-2024,True
a104,a104,"a104. Lifetime, driven a car when you had been using alcohol or drugs, or been i",1,2019-2020..2019-2020,False
a104_a86,a104_a86,"a104/a86. 12 months, had sexual jokes, comments, or gestures made to you at sch",3,2010-2011..2012-2013,False
a104_a93,a104_a93,"a104_a93. A physical or mental disability, past 12 months on school property, we",2,2013-2014..2014-2015,True
a104_a94,a104_a94,"a104_a94. Past 12 months at school, had sexual jokes, comments, or gestures made",2,2017-2018..2018-2019,False
a104_a95,a104_a95,"a104_a95. Past 30 days on school property, did you use smokeless tobacco?",3,2015-2016..2020-2021,True
a104_a99,a104_a99,"a104_a99. Drink alcohol (beer, wine, liquor) occasionally - How much do people r",3,2021-2022..2023-2024,True
a105_a100,a105_a100,a105_a100. Have five or more drinks of alcohol once or twice a week - How much d,3,2021-2022..2023-2024,True
a105_a87,a105_a87,"a105/a87. past 12 months, been made fun of because of your looks or the way you",3,2010-2011..2012-2013,False
a105_a92,a105_a92,a105_a92. How safe do you feel when you are at school?,1,2019-2020..2019-2020,False
a105_a94,a105_a94,"a105_a94. Any other reason, past 12 months on school property, were harassed or",2,2013-2014..2014-2015,True
a105_a95,a105_a95,"a105_a95. Past 12 months at school, been made fun of because of your looks or th",2,2017-2018..2018-2019,False
a105_a96,a105_a96,"a105_a96. Past 30 days on school property, did you vape?",3,2015-2016..2020-2021,True
a106_a101,a106_a101,"a106_a101. Use marijuana occasionally (smoke, vape, eat, or drink) - How much do",3,2021-2022..2023-2024,True
a106_a88,a106_a88,"a106/a88. past 12 months, had your property stolen or deliberately damaged, suc",3,2010-2011..2012-2013,False
a106_a94,a106_a94,"a106_a94. Past 12 months at school, been pushed, shoved, slapped, hit, or kicked",1,2019-2020..2019-2020,False
a106_a95,a106_a95,"a106_a95. Past 12 months, how many times did other students spread mean rumors o",2,2013-2014..2014-2015,True
a106_a96,a106_a96,"a106_a96. Past 12 months at school, had your property stolen or deliberately dam",2,2017-2018..2018-2019,False
a106_a97,a106_a97,"a106_a97. Past 30 days on school property, did you have at least one drink of al",3,2015-2016..2020-2021,True
a107_a102,a107_a102,a107_a102. Use marijuana daily - How much do people risk harming themselves phys,3,2021-2022..2023-2024,True
a107_a89,a107_a89,"a107/a89. past 12 months, has anyone offered, sold or given you an illegal drug",3,2010-2011..2012-2013,False
a107_a95,a107_a95,"a107_a95. Past 12 months at school, been afraid of being beaten up?",1,2019-2020..2019-2020,False
a107_a96,a107_a96,a107_a96. Do you consider yourself a member of a gang?,2,2013-2014..2014-2015,True
a107_a97,a107_a97,"a107_a97. Past 12 months at school, been offered, sold, or given an illegal drug",2,2017-2018..2018-2019,False
a107_a98,a107_a98,"a107_a98. Past 30 days on school property, did you use marijuana (smoke, vape, e",3,2015-2016..2020-2021,True
a108,a108,"a108. Past 12 months, did you ever seriously consider attempting suicide?",1,2013-2014..2013-2014,False
a108_a103,a108_a103,a108_a103. Cigarettes - How difficult is it for students in your grade to get an,3,2021-2022..2023-2024,True
a108_a90,a108_a90,"a108/a90. past 12 months, have you damaged school property on purpose?",3,2010-2011..2012-2013,False
a108_a96,a108_a96,"a108_a96. Past 12 months at school, been in a physical fight?",1,2019-2020..2019-2020,False
a108_a97,a108_a97,"a108_a97. Past 12 months, did you ever feel so sad or hopeless almost everyday f",1,2014-2015..2014-2015,False
a108_a98,a108_a98,"a108_a98. Past 12 months at school, damaged school property on purpose?",2,2017-2018..2018-2019,False
a108_a99,a108_a99,"a108_a99. Past 30 days on school property, did you use any other drug, pill, or",3,2015-2016..2020-2021,True
a109,a109,"a109. During the past 12 months, did you ever seriously consider attempting suic",1,2014-2015..2014-2015,False
a109_a100,a109_a100,"a109_a100. Past 30 days on school property, did you breathe the smoke or vapor f",3,2015-2016..2020-2021,True
a109_a104,a109_a104,a109_a104. Vape products - How difficult is it for students in your grade to get,3,2021-2022..2023-2024,True
a109_a91,a109_a91,"a109/a91. past 12 months, gun, how many days did you carry on  school property",3,2010-2011..2012-2013,False
a109_a97,a109_a97,"a109_a97. Past 12 months at school, had mean rumors or lies spread about you?",2,2013-2014..2019-2020,True
a109_a99,a109_a99,"a109_a99. Past 12 months at school, carried a gun?",2,2017-2018..2018-2019,False
a10_a9,a10_a9,a10_a9. What is the highest level of education your parents completed?,5,2010-2011..2014-2015,True
a11,a11,"a11. Is your father, mother, or guardian currently in the military (Army, Navy,",9,2015-2016..2023-2024,True
a110,a110,a110. Have tried to quit smoking or vaping tobacco or nicotine - lifetime users,1,2022-2023..2022-2023,False
a110_a100,a110_a100,"a110_a100. Past 12 months at school, carried any other weapon?",2,2017-2018..2018-2019,False
a110_a101,a110_a101,a110_a101. Smoke cigarettes occasionally - How much do people risk harming thems,3,2015-2016..2020-2021,True
a110_a105,a110_a105,a110_a105. Alcohol - How difficult is it for students in your grade to get any o,2,2021-2022..2023-2024,True
a110_a92,a110_a92,"a110/a92. past 12 months, weapon such as knife or club, how many  days did you",3,2010-2011..2012-2013,False
a110_a98,a110_a98,"a110_a98. Past 12 months at school, had sexual jokes, comments, or gestures made",3,2013-2014..2019-2020,True
a111,a111,a111. Have tried to quit alcohol - lifetime users only,1,2022-2023..2022-2023,False
a111_a101,a111_a101,"a111_a101. Past 12 months at school, been threatened or injured with a weapon?",2,2017-2018..2018-2019,False
a111_a102,a111_a102,a111_a102. Smoke 1 or more packs of cigarettes each day - How much do people ris,3,2015-2016..2020-2021,True
a111_a106,a111_a106,a111_a106. Marijuana - How difficult is it for students in your grade to get any,2,2021-2022..2023-2024,True
a111_a93,a111_a93,"a111/a93. past 12 months, been threatened or injured with a weapon such as a gu",3,2010-2011..2012-2013,False
a111_a99,a111_a99,"a111_a99. Past 12 months at school, been made fun of because of your looks or th",3,2013-2014..2019-2020,True
a112,a112,a112. Have tried to quit marijuana - lifetime users only,1,2022-2023..2022-2023,False
a112_a100,a112_a100,"a112_a100. Past 12 months at school, had your property stolen or deliberately da",3,2013-2014..2019-2020,True
a112_a100,a112_a100c,"a112_a100c. Transgender, which of the following best describes you?",1,2013-2014..2013-2014,False
a112_a100a,a112_a100a,"a112_a100a. Heterosexual (straight), which of the following best describes you?",1,2013-2014..2013-2014,False
a112_a100b,a112_a100b,"a112_a100b. Gay or Lesbian or Bisexual, which of the following best describes yo",1,2013-2014..2013-2014,False
a112_a100d,a112_a100d,"a112_a100d. Not sure, which of the following best describes you?",1,2013-2014..2013-2014,False
a112_a100e,a112_a100e,"a112_a100e. Decline to respond, which of the following best describes you?",1,2013-2014..2013-2014,False
a112_a102,a112_a102,"a112_a102. Past 12 months at school, seen someone carrying a gun, knife, or othe",2,2017-2018..2018-2019,False
a112_a103,a112_a103,a112_a103. Use vape products occasionally - How much do people risk harming them,3,2015-2016..2020-2021,True
a112_a107,a112_a107,a112_a107. Prescription drugs to get 'high' or for reasons other than prescribed,2,2021-2022..2023-2024,True
a112_a94,a112_a94,"a112/a94. past 12 months, seen someone carrying a gun, knife, or other weapon a",3,2010-2011..2012-2013,False
a113,a113,a113. Have tried to quit smoking or vaping tobacco or nicotine - lifetime users,1,2023-2024..2023-2024,False
a113_a101,a113_a101,"a113_a101. Past 12 months at school, been offered, sold, or given an illegal dru",2,2014-2015..2019-2020,True
a113_a101,a113_a101c,"a113_a101c. Transgender, which of the following best describes you?",1,2014-2015..2014-2015,False
a113_a101a,a113_a101a,"a113_a101a. Heterosexual, which of the following best describes you?",1,2014-2015..2014-2015,False
a113_a101b,a113_a101b,"a113_a101b. Gay or Lesbian or Bisexual, which of the following best describes yo",1,2014-2015..2014-2015,False
a113_a101d,a113_a101d,"a113_a101d. Not sure, which of the following best describes you?",1,2014-2015..2014-2015,False
a113_a101e,a113_a101e,"a113_a101e. Decline to respond, which of the following best describes you?",1,2014-2015..2014-2015,False
a113_a103,a113_a103,"a113_a103. Past 12 months at school, been threatened with harm or injury?",2,2017-2018..2018-2019,False
a113_a104,a113_a104,a113_a104. Use vape products several times a day - How much do people risk harmi,3,2015-2016..2020-2021,True
a113_a105,a113_a105,a113_a105. Does your school ban tobacco use and vaping on school property and at,1,2022-2023..2022-2023,False
a113_a108,a113_a108,a113_a108. Vape products - How difficult is it for students in your grade to get,1,2021-2022..2021-2022,False
a113_a95,a113_a95,"a113/a95. past 12 months, harassed or bullied because of your race, ethnicity,",3,2010-2011..2012-2013,False
a114,a114,a114. Have tried to quit alcohol - lifetime users only,2,2016-2017..2023-2024,True
a114_a102,a114_a102,"a114_a102. Past 12 months at school, damaged school property on purpose?",1,2019-2020..2019-2020,False
a114_a104,a114_a104,"a114_a104. Past 12 months at school, been made fun of, insulted, or called names",2,2017-2018..2018-2019,False
a114_a105,a114_a105,a114_a105. Drink alcohol occasionally - How much do people risk harming themselv,2,2015-2016..2020-2021,True
a114_a107,a114_a107,a114_a107. How safe do you feel when you are at school?,1,2022-2023..2022-2023,False
a114_a109,a114_a109,a114_a109. Alcohol - How difficult is it for students in your grade to get any o,1,2021-2022..2021-2022,False
a114_a96,a114_a96,"a114/a96. past 12 months, harassed or bullied because of  your religion on scho",3,2010-2011..2012-2013,False
